kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter
dj,ben-sterling,Ben Sterling,"London, UK",3,website|twitter,https://cdn-images.dzcdn.net/images/artist/27726e8a087f946c9bbd840498b87a05/250x250-000000-80-0-0.jpg,https://bensterling.komi.io/,https://instagram.com/bensterlingmusic,https://www.youtube.com/@bensterlinguk,https://soundcloud.com/bensterling,Not found
dj,jonas-blue,Jonas Blue,"London, UK",3,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/49f84318807cd6e2ba0acf4986f66ea6/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@jonasblueofficial,https://soundcloud.com/jonasblue,Not found
dj,malive,Malive,Brazil,3,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/6311a0d1a2b7c58d3ed9706c06f111cf/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@malive,https://soundcloud.com/maliveofficial,Not found
dj,notion,Notion,"Bristol, UK",3,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/b97254a25ef466a83363eb56929bc3d5/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@NOTIONDJ,https://soundcloud.com/notiondj,Not found
dj,prospa,Prospa,"Leeds, UK",3,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/b53c414019fa4abe85227ccdf33c8a13/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@ProspaUK,https://soundcloud.com/prospauk,Not found
dj,steller,Steller,"Florida, US",3,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/96a947afe24327afc6404ce229950391/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@stellersounds,https://soundcloud.com/stellersounds,Not found
dj,ahmed-spins,Ahmed Spins,"Miami, US",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/92be857125fa54132e0395774686e7ec/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@AhmedSpinsMusic,https://soundcloud.com/ahmedspins,Not found
dj,argy,Argy,Not found,2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/e71e56891f8a5bf21c9b78ce31d70a8c/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@madelineargy,https://soundcloud.com/argyofficial,Not found
dj,austin-kramer,Austin Kramer,"Denver, US",2,website|soundcloud,https://cdn-images.dzcdn.net/images/artist/028db8de807cf96d7f3469a2c221e805/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/austinkramer,https://www.youtube.com/@austinkramer,Not found,https://x.com/austinkramer
dj,beltran,Beltran,Brazil,2,website|twitter,https://cdn-images.dzcdn.net/images/artist/23d2cbad697ebcbcf2b9cef4366652ec/250x250-000000-80-0-0.jpg,Not found,https://instagram.com/beltranmusic,https://www.youtube.com/@beltran1337,https://soundcloud.com/beltranmusic,Not found
dj,bijou,BIJOU,"Los Angeles, US",2,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/9d58673603c5df1b2628eabb5aff8dc8/250x250-000000-80-0-0.jpg,Not found,Not found,https://www.youtube.com/@BIJOU,https://soundcloud.com/bijou,Not found
dj,blond,Blond,"Barcelona, Spain",2,website|instagram|youtube|twitter,https://cdn-images.dzcdn.net/images/artist/aecbe3bf6476ed4f040dfd110dc66738/250x250-000000-80-0-0.jpg,Not found,Not found,Not found,https://soundcloud.com/blondish,Not found
dj,dyen,Dyen,"Rotterdam, Netherlands",2,instagram|youtube|soundcloud|twitter,https://cdn-images.dzcdn.net/images/artist/746dc69994b12a710ececbf3a315850a/250x250-000000-80-0-0.jpg,https://www.gmanetwork.com/,Not found,Not found,Not found,Not found
